Date,Open,High,Low,Close,Volume,Adj Close
1994-01-31,100.375139,100.375139,98.375142,98.500147,3531400,47.096427
1994-01-28,102.12514,102.12514,100.125143,100.125143,1642700,47.873396
1994-01-27,101.500142,102.375142,101.125154,101.125154,978000,48.351537
1994-01-26,101.125154,102.12514,100.125143,101.500142,1128000,48.530832
1994-01-25,101.500142,102.12514,101.250139,101.750151,1469700,48.65037
1994-01-24,101.500142,103.250155,101.125154,101.750151,2864400,48.65037
1994-01-21,102.750143,102.750143,100.750147,101.250139,2657600,48.411297
1994-01-20,101.625147,103.00014,100.750147,102.625152,2321300,49.068739
1994-01-19,99.750142,101.625147,99.500139,101.625147,2393300,48.590601
1994-01-18,100.125143,100.875151,99.500139,100.750147,1963900,48.172232
1994-01-17,99.000146,100.250154,99.000146,99.000146,1390000,47.335495
1994-01-14,99.000146,100.375139,98.625139,99.000146,4523100,47.335495
1994-01-13,94.125133,98.000135,94.000141,98.000135,2035700,46.857354
1994-01-12,94.000141,95.500145,93.750145,94.75013,3391400,45.303411
1994-01-11,90.875128,92.500137,90.625132,92.250141,1599900,44.108077
1994-01-10,90.125133,91.500132,89.62514,90.50014,2176700,43.271339
1994-01-07,89.750125,89.875136,88.000125,89.62514,2454500,42.85297
1994-01-06,90.375129,91.500132,89.000136,89.62514,1487500,42.85297
1994-01-05,88.250128,90.750136,86.500127,90.125133,3064100,43.092035
1994-01-04,89.375124,89.375124,87.750128,88.250128,2327400,42.195528
1994-01-03,92.000125,92.000125,88.500124,88.625129,2643200,42.374829
1993-12-31,93.00013,93.750145,92.250141,92.250141,788600,44.108077
1993-12-30,91.625137,92.625129,91.37514,92.625129,821600,44.287372
1993-12-29,91.500132,92.625129,91.500132,91.875133,1282500,43.928772
1993-12-28,92.000125,92.875144,91.500132,91.875133,1523500,43.928772
1993-12-27,91.000133,91.37514,90.250125,91.37514,1138400,43.689708
1993-12-23,90.000128,90.50014,89.500129,90.250125,1362100,43.151798
1993-12-22,86.750124,89.250132,86.750124,89.000136,1673200,42.554134
1993-12-21,85.625121,87.250136,84.75012,86.500127,2770600,41.358791
1993-12-20,87.250136,87.750128,85.000123,85.000123,2098800,40.641585
1993-12-17,89.250132,90.250125,87.250136,87.500132,2564100,41.836928
1993-12-16,89.875136,90.000128,87.750128,89.250132,2389000,42.673666
1993-12-15,89.875136,90.375129,88.875125,89.750125,1469700,42.91273
1993-12-14,90.125133,90.50014,89.000136,89.875136,1378500,42.972503
1993-12-13,88.750121,89.875136,88.750121,89.750125,1883800,42.91273
1993-12-10,91.500132,91.875133,88.875125,88.875125,2636200,42.494362
1993-12-09,93.250133,93.375137,90.50014,91.000133,2730800,43.510404
1993-12-08,93.87513,95.125138,93.500129,94.000141,1279700,44.89222
1993-12-07,94.000141,94.625145,92.750133,94.125133,2103400,44.951913
1993-12-06,92.12513,94.250137,91.750129,94.125133,4015000,44.951913
1993-12-03,96.000138,96.750134,95.375134,96.125149,000,45.907073
1993-12-02,94.625145,95.750141,93.750145,95.750141,2041500,45.727979
1993-12-01,95.250149,95.375134,93.750145,94.125133,1885000,44.951913
1993-11-30,93.00013,95.250149,93.00013,93.750145,1930100,44.772828
1993-11-29,95.750141,95.875133,92.500137,93.250133,2245200,44.534034
1993-11-26,97.250146,97.250146,96.000138,96.125149,468200,45.907073
1993-11-24,96.250134,96.875138,95.875133,96.375145,1274900,46.026466
1993-11-23,94.125133,96.000138,92.625129,95.875133,2825800,45.787672
1993-11-22,94.75013,95.500145,92.500137,93.500129,3297900,44.653427
1993-11-19,94.625145,97.000149,94.625145,96.000138,2602200,45.847371
1993-11-18,99.000146,99.000146,95.000133,95.625137,4181000,45.66828
1993-11-17,101.875143,102.875154,98.125146,99.750142,2295300,47.638283
1993-11-16,100.50015,102.000154,99.62515,101.875143,1725800,48.653133
1993-11-15,102.625152,102.625152,99.875146,100.875151,1590500,48.175561
1993-11-12,103.500158,103.750155,102.250151,103.00014,1238400,49.190405
1993-11-11,103.125151,106.250151,103.125151,104.000151,2419500,49.667986
1993-11-10,100.750147,103.00014,100.750147,102.875154,2176200,49.130715
1993-11-09,100.000138,101.625147,99.500139,99.750142,2174500,47.638283
1993-11-08,98.875135,100.375139,98.500147,98.75015,1138600,47.160711
1993-11-05,96.250134,99.125138,95.500145,99.000146,2707000,47.280103
1993-11-04,99.250142,100.375139,94.250137,97.000149,3975400,46.324952
1993-11-03,102.750143,102.750143,99.000146,99.375153,3467100,47.459198
1993-11-02,104.000151,104.125156,102.750143,103.250155,1244700,49.309806
1993-11-01,104.875151,105.500155,103.750155,104.500144,896000,49.906771
1993-10-29,103.750155,106.000148,103.625144,104.750147,1106200,50.026166
1993-10-28,103.375147,104.500144,102.12514,104.500144,2599900,49.906771
1993-10-27,102.250151,106.000148,102.250151,105.62516,1624300,50.444051
1993-10-26,102.375142,103.875146,101.875143,103.250155,1077400,49.309806
1993-10-25,102.500147,102.875154,100.875151,102.12514,1888600,48.772525
1993-10-22,103.00014,103.500158,100.50015,103.00014,1996100,49.190405
1993-10-21,102.000154,104.000151,100.250154,103.125151,1954800,49.250107
1993-10-20,101.875143,103.00014,100.125143,102.000154,2048700,48.712835
1993-10-19,105.375144,105.750152,100.625142,101.500142,2232400,48.474042
1993-10-18,106.750156,107.500158,105.375144,105.875156,1886200,50.563444
1993-10-15,105.250159,106.625152,104.750147,106.000148,2012300,50.623137
1993-10-14,103.250155,105.000156,103.250155,104.375158,1896900,49.847081
1993-10-13,102.000154,103.250155,101.000143,102.750143,2168600,49.071012
1993-10-12,103.750155,104.000151,101.625147,103.500158,3568400,49.429201
1993-10-11,101.000143,102.375142,97.250146,98.500147,2753600,47.041315
1993-10-08,97.500142,100.750147,95.625137,100.50015,1680200,47.996469
1993-10-07,98.75015,98.875135,96.500137,96.750134,1916500,46.205551
1993-10-06,98.75015,101.000143,98.500147,98.500147,2272600,47.041315
1993-10-05,102.000154,102.000154,97.625147,98.75015,2616300,47.160711
1993-10-04,100.000138,101.500142,100.000138,100.875151,1033400,48.175561
1993-10-01,100.875151,101.250139,99.62515,100.000138,1843500,47.757676
1993-09-30,101.37515,102.750143,99.750142,101.000143,1596600,48.235254
1993-09-29,104.000151,105.000156,101.250139,101.625147,1935900,48.533741
1993-09-28,103.250155,105.125148,102.500147,104.500144,2542000,49.906771
1993-09-27,100.125143,102.500147,100.125143,102.500147,2383700,48.95162
1993-09-24,98.125146,100.125143,97.500142,99.500139,2372900,47.518888
1993-09-23,95.750141,98.625139,95.750141,98.250138,2472900,46.921917
1993-09-22,93.500129,95.500145,93.125141,95.000133,2584000,45.369793
1993-09-21,93.250133,94.375129,91.750129,92.250141,2481800,44.056462
1993-09-20,92.625129,94.75013,92.625129,93.750145,1641000,44.772828
1993-09-17,91.250129,93.250133,91.250129,91.750129,1878200,43.817668
1993-09-16,93.500129,93.625134,92.000125,92.500137,847700,44.175854
1993-09-15,90.375129,93.750145,90.250125,93.00013,2139200,44.414639
1993-09-14,91.000133,91.000133,89.62514,90.375129,2375200,43.161001
1993-09-13,94.875141,95.125138,91.750129,91.875133,1202700,43.877367
1993-09-10,94.375129,95.250149,93.250133,94.375129,1815500,45.071306
1993-09-09,92.000125,94.000141,92.000125,93.750145,4766600,44.772828
1993-09-08,91.875133,92.375132,88.625129,92.000125,3170400,43.884527
1993-09-07,94.500134,94.625145,91.500132,92.250141,976700,44.003786
1993-09-03,95.000133,95.125138,93.87513,94.625145,723500,45.136675
1993-09-02,95.000133,95.875133,95.000133,95.000133,749300,45.315547
1993-09-01,95.875133,96.125149,94.625145,95.000133,1139200,45.315547
1993-08-31,96.750134,97.375137,95.875133,95.875133,1042500,45.732926
1993-08-30,95.875133,97.250146,95.625137,96.500137,1028800,46.031056
1993-08-27,94.250137,96.250134,93.750145,95.625137,989000,45.613677
1993-08-26,95.000133,95.250149,92.625129,94.375129,2028400,45.017417
1993-08-25,97.375137,97.750138,94.250137,95.000133,2084700,45.315547
1993-08-24,96.125149,97.750138,95.125138,97.250146,1808500,46.388814
1993-08-23,95.875133,97.000149,95.750141,96.125149,1760100,45.852185
1993-08-20,96.000138,96.750134,95.500145,95.875133,1524000,45.732926
1993-08-19,96.125149,97.250146,94.75013,96.125149,1490300,45.852185
1993-08-18,98.75015,99.125138,95.750141,96.000138,1755800,45.792554
